,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
4650,Senior iOS Developer (Native),RDI ,20 days ago,"Dokki, Giza, Egypt ",Full TimePart TimeFreelance / Project,Experienced,3+ Yrs of Exp,IT/Software Development Engineering - Telecom/Technology React Native Native iOS Mobile Development Computer Science UI/UX Swift Software Development
4651,Senior Android Developer,RDI ,20 days ago,"Dokki, Giza, Egypt ",Full TimePart TimeFreelance / Project,Experienced,3+ Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Android SDK Android Android UI Android App Offline Storage Threading Performance Tuning Code Versioning Tools
4652,Plumbing & Fire Fighting Team Leader, AMO,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,12 - 16 Yrs of Exp,Engineering - Mechanical/Electrical Design BIM Fire Fighting Plumbing Revit Mechanical Engineering
4653,Quality Control Engineer,AKL Auto Feeding Industries ,20 days ago,"Talkha, Dakahlia, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Manufacturing/Production Quality Engineering - Mechanical/Electrical Communication Engineering ISO Leadership Leadership skills Mechanical quality
4654,Computer Science & Computer Engineering Fresh Graduates,Confidential ,20 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Information Technology (IT) Computer Science Software Development IBM Tools ITSM Software Engineering SQL DB2
4655,Sales Supervisor,Confidential ,20 days ago,"Haram, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Sales/Retail sales skills Sales
4656,Operations Supervisor - Tourism,Confidential ,20 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Operations/Management Tourism/Travel Operations Customer Service Management Sales Tourism Travel
4657,Senior Electrical Facility Engineer - Almaza Bay ( Marsa Matrouh ),Travco Properties ,20 days ago,"Marsa Matruh, Matruh, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture Installation/Maintenance/Repair Engineering - Mechanical/Electrical Facility Engineer Engineering Electrical Engineering Structural Engineering Maintenance AC Civil Engineering
4658,Account Manager,Confidential ,20 days ago,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Customer Service/Support Sales/Retail Account Management account manager Communication Communication skills Sales Customer Service B2B
4659,Influencers & Media Specialist,InstaShop ,20 days ago,"Katameya, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Marketing/PR/Advertising Media/Journalism/Publishing Campaign Campaign Strategies Communication E-Marketing Influencers Marketing Social Media media
4660,Accounting Manager - Tourism,Confidential ,20 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Manager,7 - 11 Yrs of Exp,Accounting/Finance Financial Accounting Financial Reports Financial Analysis Financial Management Finance Accounting Financial Compliance Tourism
4661,Export Sales Specialist,Glamour Export  ,20 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,Logistics/Supply Chain Sales/Retail Communication Customer Service Communication skills English Export Export Sales Management MS Office
4662,Onboarding Specialist (Learning and Development Specialist),Elabd Foods ,20 days ago,"Abu Rawash, Giza, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,males_preferred Human Resources Human Resources (HR) Microsoft Office Training Presentations Human Resources Development L&D English sales skills HR
4663,Mechanical Procurement Manager,Al Marasem Group ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Manager,20+ Yrs of Exp,Logistics/Supply Chain Purchasing/Procurement Engineering - Mechanical/Electrical Procurement Management Mechanical Mechanical Engineering Construction Engineering Communication
4664,Administrative Executive,The Master Gate ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,females_only Administration Operations/Management Administration administrative Presentation Skills Office management Secretary office Microsoft Office excel
4665,Full Stack Developer (MERN) - Remote,Confidential ,20 days ago,"Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,IT/Software Development React Meteor Node.js
4666,Sales Admin,Elattal Holding  ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,females_only Administration excel Sales admin CRM MS Office Admin
4667,Production Engineer,Marbella For Food Industry  ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Manufacturing/Production Engineering - Mechanical/Electrical Engineering - Other Agriculture Engineering Food Production LEAN Lean manufacturing Manufacturing Mechanical
4668,Senior Graphic Designer,TACC Network ,20 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Art Adobe Photoshop Graphic Design photoshop Design Graphic English
4669,External Audit Manager,Crowe Egypt ,20 days ago,"Dokki, Giza, Egypt ",Full Time,Manager,14 - 20 Yrs of Exp,males_only Accounting/Finance ACCA Accounting Accounting Audit Auditing CPA English external audit External Auditing Auditing External Auditing External Audit IFRS ACCA Audit Management CPA
4670,Customer service representative and sales representative,Nile for plastic industries ,20 days ago,"Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,Customer Service/Support Marketing/PR/Advertising Sales/Retail Sales representative sales skills Sales Target Service Sales Representative Customer Service
4671,Mechanical Engineer,Confidential ,20 days ago,"Obour City, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,males_only Installation/Maintenance/Repair Engineering - Mechanical/Electrical Maintenance Mechanical Engineering Engineering Mechanical Food Manufacturing
4672,Senior Production Engineer,Elhelow Group ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Manufacturing/Production Engineering - Mechanical/Electrical Engineering - Other CAD Communication skills CAM Engineering Manufacturing Applied Arts Furniture
4673,Inbound Tour Operator,Confidential ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,5 - 6 Yrs of Exp,Tourism/Travel Hotels Communication skills Tourism Travel Marketing Tours sales skills
4674,Senior Social Media Specialist,TACC Network ,20 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Marketing/PR/Advertising Marketing social Social Media Writing Communication Digital digital media Digital Marketing English
4675,Sales Representative Consultant,ALQIMA Real Estate & Development ,20 days ago,"New Damietta, Damietta, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,Business Development Customer Service/Support Sales/Retail Customer Service Experience CRM Analysis analytical Sales sales skills
4676,Wholesale Sales Representative,Egypt Gold  ,20 days ago,"Alexandria, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Sales/Retail Representative Sales representative Sales sales skills Sales Target Wholesale Wholesale sales
4677,QS Electrical Engineer,Better Home ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,males_only Engineering - Mechanical/Electrical Electrical Electrical Engineering
4678,Interior Designer internship (Unpaid),Better Home ,20 days ago,"New Cairo, Cairo, Egypt ",Internship,Student,Engineering - Construction/Civil/Architecture,Creative/Design/Art Architecture AutoCAD Design Designer Interior Interior Design interior designer Communication
4679,Outgoing Manager,Confidential ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,Tourism/Travel outgoing Tourism Travel Hotels
4680,Graphic Designer internship (unpaid),Better Home ,20 days ago,"New Cairo, Cairo, Egypt ",Internship,Student,Creative/Design/Art,Marketing/PR/Advertising Media/Journalism/Publishing adobe Adobe Creative Suite Adobe illustrator Adobe Photoshop Creative creative suite Design
4681,Videographer internship (Unpaid),Better Home ,20 days ago,"New Cairo, Cairo, Egypt ",Internship,Student,Creative/Design/Art,Marketing/PR/Advertising Media/Journalism/Publishing adobe Adobe Premiere Adobe Premiere Pro Editing final cut Lighting media
4682,Senior Financial Analyst - Real Estate,Scope International ,20 days ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Accounting/Finance Finance Analysis
4683,Executive Management Assistant,Confidential ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,females_only Administration Customer Service/Support Operations/Management Office management Secretary Microsoft Office Administration Admin Management Communication
4684,senior technical office -civil,Inco group ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,7 - 12 Yrs of Exp,Engineering - Construction/Civil/Architecture Civil Engineering Construction
4685,Senior Frontend PHP Developer,Confidential ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,IT/Software Development PHP Laravel Framework Front-End Development HTML CSS Vue.js Bootstrap Angular Mysql Database
4686,Electrical Procurement Engineer,AL MASHARIQ  ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,Engineering - Construction/Civil/Architecture Purchasing/Procurement Engineering - Mechanical/Electrical Procurement Management Electrical Engineering Negotiation
4687,Receptionist,Reportage Egypt Real Estate Development ,20 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,Administration Admin Administration Communication Front Office Management Microsoft Microsoft Office office Office Equipment
4688,Senior PHP Laravel Developer,Confidential ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,IT/Software Development PHP Development Laravel Scrum Micro-Services SOLID OOP Principles Livewire RESTful APIs SOAP GrahpQL
4689,E Commerce Manager,Confidential ,20 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,IT/Software Development e commerce E-Marketing E.commerce Marketing E-Commerce Sales business
4690,Senior Architecture Technical Office Engineer,WAA Consulting Engineers  ,20 days ago,"Rehab City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture AutoCAD Autodesk Revit Shop Drawings Tendering Quantity Surveying Architecture
4691,Sales Account Manager,RDI ,20 days ago,"Dokki, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,IT/Software Development Operations/Management Sales/Retail B2B business Sales Sales Target Software Sales sales skills English
4692,Sales Specialist,Confidential ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Customer Service/Support Sales/Retail Communication Customer Service Sales Communication skills sales skills Sales Target MS Office google
4693,Academy Manager,Maxevia Corporate ,20 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 2 Yrs of Exp,females_only Customer Service/Support Operations/Management Sales/Retail Sales Target Sales Skills Administration Sales Customer Service Business Administration Sales Management
4694,Voice Engineer,Confidential ,20 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology CCNA CCNP UCCE Cisco UCCE Cisco Voice Voip Systems CCNA Voice CCNP voice
4695,ERP Sales Representative,Ultimate Solutions Egypt ,20 days ago,"Muscat, Oman ",Full Time,Experienced,2 - 5 Yrs of Exp,Accounting/Finance Customer Service/Support Sales/Retail Communication skills Customer Service ERP negotiation skills sales skills Sales Target Sales
4696,Export Sales Specialist,Confidential ,20 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Logistics/Supply Chain Operations/Management Sales/Retail Communication skills Customer Service MS Office Sales sales skills Sales Target Packaging
4697,HR Learning and Development Internship,Allianz ,20 days ago,"New Cairo, Cairo, Egypt ",Internship,Entry Level,Training/Instructor,Human Resources (HR) learning &amp; development Training
4698,General Accountant,Elzenouki Group ,20 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Accounting/Finance Banking Accounting Finance Financial Management Financial Analysis Communication Skills Microsoft Office Accounts Payable Treasury Accounting
4699,Customer Happiness Agent (Contract),Nathan & Nathan ,20 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,IT/Software Development Sales/Retail Customer Service Customer Support Customer Care Call Center Communication Skills English Sales
4700,Cluster QA/QC Director,UrbaCon Contracting & Trading Company ,20 days ago,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,Project/Program Management Engineering - Other qa qc quality control quality assurance quality engineering civil engineering
4701,News Editor (Al Jazeera English Channel),Al Jazeera Media Network ,20 days ago,"Doha, Qatar ",Full Time,Not specified,Writing/Editorial,Marketing/PR/Advertising Media/Journalism/Publishing Editing Writing Media Editorial News Editorial Translation Translator
4702,SEN Coordinator / Head of Inclusion,Apple School ,20 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,Creative/Design/Art Education/Teaching education computer skills special needs teaching special education
4703,Senior Sales Executive – Decorative Coatings/Trade Business,Hempel ,20 days ago,"Kuwait City, Kuwait ",Full Time,Not specified,Business Development,Marketing/PR/Advertising Sales/Retail sales sales skills sales target marketing communication english business
4704,"kg teacher- abu dhabi, asap 2023",Teachanywhere ,20 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Operations/Management,Education/Teaching Training/Instructor teaching certification dhabi curriculum emirati
4705,Deputy News Editor (Al Jazeera English Channel),Al Jazeera Media Network ,20 days ago,"Doha, Qatar ",Full Time,Not specified,Writing/Editorial,Marketing/PR/Advertising Media/Journalism/Publishing Editing Media Writing Editorial News Editorial Translation Translator
4706,Pixelogic Summer Internship,"Pixelogic Media Partners, LLC ",20 days ago,"Cairo, Egypt ",Full Time,Not specified,Logistics/Supply Chain,Marketing/PR/Advertising Sales/Retail Computer Science Finance Human Resources (HR) Market Research Marketing Pharmacy Business
4707,Senior Engineer - Electrical,AECOM ,20 days ago,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,Engineering - Telecom/Technology Engineering - Mechanical/Electrical Engineering Information Technology (IT) Computer Science Software Engineering Software Development Computer Engineering Mechanical Engineering
4708,PRO/Admin,BambooHR ,20 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,Human Resources IT/Software Development administration admin microsoft office office management
4709,Consulting Cloud Architect,Jordan Dreams ,20 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,IT/Software Development Engineering - Telecom/Technology Information Technology (IT) Computer Science Engineering Oracle Cloud Telecommunication Azure
4710,Area Sales Manager,Caliberly ,20 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,Operations/Management Sales/Retail Sales Sales Skills Sales Target Customer Service Customer Support Customer Care Management
